id,candidate_id,candidate_name,job_id,job_title,status,source,applied_at,evaluation_score,evaluation_notes,offer_salary,offer_made_at,offer_deadline,offer_notes,joined_at,notes,registered_by_id,created_at,updated_at
a0001-0000-0000-0000-000000000001,c0002-0000-0000-0000-000000000002,上田 洋介,j0010-0000-0000-0000-0000000000010,看護助手,interviewing,マイナビ看護師,2025-12-14T19:20:55+09:00,3,面接評価コメント,,,,,,,u003,2025-11-05T19:20:55+09:00,2025-12-27T19:20:55+09:00
a0002-0000-0000-0000-000000000002,c0006-0000-0000-0000-000000000006,山口 誠一,j0010-0000-0000-0000-0000000000010,看護助手,document_screening,ハローワーク,2025-12-18T19:20:55+09:00,,,,,,,,,u002,2025-11-13T19:20:55+09:00,2025-12-26T19:20:55+09:00
a0003-0000-0000-0000-000000000003,c0016-0000-0000-0000-0000000000016,新井 拓真,j0004-0000-0000-0000-000000000004,臨床検査技師,document_rejected,マイナビ看護師,2025-11-17T19:20:55+09:00,4,面接評価コメント,,,,,,,u001,2025-12-18T19:20:55+09:00,2025-12-23T19:20:55+09:00
a0004-0000-0000-0000-000000000004,c0018-0000-0000-0000-0000000000018,阿部 浩二,j0004-0000-0000-0000-000000000004,臨床検査技師,interviewing,ナース人材バンク,2025-12-10T19:20:55+09:00,5,面接評価コメント,,,,,,,u003,2025-12-14T19:20:55+09:00,2025-12-29T19:20:55+09:00
a0005-0000-0000-0000-000000000005,c0010-0000-0000-0000-0000000000010,近藤 大地,j0008-0000-0000-0000-000000000008,薬剤師,document_passed,ジョブメドレー,2025-12-12T19:20:55+09:00,4,面接評価コメント,,,,,,,u004,2025-11-19T19:20:55+09:00,2025-12-24T19:20:55+09:00
a0006-0000-0000-0000-000000000006,c0002-0000-0000-0000-000000000002,上田 洋介,j0006-0000-0000-0000-000000000006,医療事務（受付）,offer_made,ハローワーク,2025-12-23T19:20:55+09:00,5,面接評価コメント,268,2025-12-29T19:20:55+09:00,2025-01-31,,,,u003,2025-11-07T19:20:55+09:00,2025-12-29T19:20:55+09:00
a0007-0000-0000-0000-000000000007,c0013-0000-0000-0000-0000000000013,後藤 麻衣,j0004-0000-0000-0000-000000000004,臨床検査技師,interview_scheduled,マイナビ看護師,2025-11-15T19:20:55+09:00,2,面接評価コメント,,,,,,,u002,2025-12-23T19:20:55+09:00,2025-12-25T19:20:55+09:00
a0008-0000-0000-0000-000000000008,c0005-0000-0000-0000-000000000005,長谷川 愛,j0002-0000-0000-0000-000000000002,正看護師（外来）,interview_scheduled,ジョブメドレー,2025-11-11T19:20:55+09:00,3,面接評価コメント,,,,,,,u004,2025-11-06T19:20:55+09:00,2025-12-24T19:20:55+09:00
a0009-0000-0000-0000-000000000009,c0018-0000-0000-0000-0000000000018,阿部 浩二,j0003-0000-0000-0000-000000000003,准看護師（透析室）,document_passed,ジョブメドレー,2025-11-28T19:20:55+09:00,4,面接評価コメント,,,,,,,u003,2025-11-06T19:20:55+09:00,2025-12-23T19:20:55+09:00
a0010-0000-0000-0000-0000000000010,c0012-0000-0000-0000-0000000000012,内田 俊介,j0008-0000-0000-0000-000000000008,薬剤師,offer_pending,レバウェル看護,2025-11-28T19:20:55+09:00,4,面接評価コメント,,,,,,,u001,2025-12-15T19:20:55+09:00,2025-12-28T19:20:55+09:00
