id,name,name_kana,email,phone,birth_date,gender,postal_code,address,current_company,current_position,years_of_experience,desired_salary_min,desired_salary_max,desired_job_types,skills,qualifications,education,source,status,notes,registered_by_id,created_at,updated_at
c0001-0000-0000-0000-000000000001,西村 真由美,にしむら まゆみ,candidate1@example.com,090-6890-2320,1993-12-06,female,101-4635,東京都港区,大学病院,正看護師,9,378,455,"看護職,病棟","正看護師,ICU経験","正看護師,ICU経験",大卒,レバウェル看護,active,,u003,2025-11-24T19:20:55+09:00,2025-12-27T19:20:55+09:00
c0002-0000-0000-0000-000000000002,上田 洋介,うえだ ようすけ,candidate2@example.com,090-2410-5898,1990-08-06,male,586-1229,東京都目黒区,総合病院,臨床検査技師,10,388,484,臨床検査,"臨床検査技師,超音波検査士","臨床検査技師,超音波検査士",大学院卒,ジョブメドレー,in_process,,u005,2025-10-25T19:20:55+09:00,2025-12-02T19:20:55+09:00
c0003-0000-0000-0000-000000000003,原田 美紀,はらだ みき,candidate3@example.com,090-5104-7653,1997-11-18,female,165-4231,東京都渋谷区,クリニック,正看護師,5,340,436,"看護職,外来",正看護師,正看護師,大卒,ハローワーク,in_process,,u002,2025-10-06T19:20:55+09:00,2025-12-28T19:20:55+09:00
c0004-0000-0000-0000-000000000004,福田 健太,ふくだ けんた,candidate4@example.com,090-6845-7671,1995-10-01,male,354-5276,東京都世田谷区,急性期病院,診療放射線技師,6,359,490,放射線技師,"診療放射線技師,CT認定","診療放射線技師,CT認定",専門卒,レバウェル看護,active,,u001,2025-10-27T19:20:55+09:00,2025-12-16T19:20:55+09:00
c0005-0000-0000-0000-000000000005,長谷川 愛,はせがわ あい,candidate5@example.com,090-4959-7902,1999-09-17,female,834-8820,東京都新宿区,調剤薬局,薬剤師,3,324,392,"薬剤師,病院",薬剤師,薬剤師,大卒,ジョブメドレー,new,,u005,2025-10-17T19:20:55+09:00,2025-12-05T19:20:55+09:00
c0006-0000-0000-0000-000000000006,山口 誠一,やまぐち せいいち,candidate6@example.com,090-7331-8443,1987-03-02,male,428-1620,東京都港区,透析クリニック,正看護師,13,425,571,"看護職,透析","正看護師,透析技術認定士","正看護師,透析技術認定士",大卒,自社採用サイト,in_process,,u002,2025-10-06T19:20:55+09:00,2025-12-03T19:20:55+09:00
c0007-0000-0000-0000-000000000007,前田 恵子,まえだ けいこ,candidate7@example.com,090-4258-9247,1980-10-06,female,573-6739,東京都渋谷区,総合病院,看護師長,20,508,628,看護管理,"正看護師,認定看護管理者","正看護師,認定看護管理者",大卒,ハローワーク,in_process,,u004,2025-11-11T19:20:55+09:00,2025-12-05T19:20:55+09:00
c0008-0000-0000-0000-000000000008,小川 翼,おがわ つばさ,candidate8@example.com,090-9667-9699,1998-03-05,male,470-9163,東京都渋谷区,リハビリ病院,理学療法士,4,357,479,リハビリ職,理学療法士,理学療法士,短大卒,ハローワーク,active,,u003,2025-11-10T19:20:55+09:00,2025-12-18T19:20:55+09:00
c0009-0000-0000-0000-000000000009,村田 優子,むらた ゆうこ,candidate9@example.com,090-6711-7761,1992-08-09,female,196-9824,東京都世田谷区,健診センター,臨床検査技師,8,391,490,臨床検査,"臨床検査技師,細胞検査士","臨床検査技師,細胞検査士",専門卒,ハローワーク,in_process,,u005,2025-10-17T19:20:55+09:00,2025-12-07T19:20:55+09:00
c0010-0000-0000-0000-0000000000010,近藤 大地,こんどう だいち,candidate10@example.com,090-1699-3357,1996-02-06,male,155-7713,東京都目黒区,精神科病院,正看護師,5,357,492,看護職,"正看護師,精神科経験","正看護師,精神科経験",専門卒,ジョブメドレー,hired,,u001,2025-11-10T19:20:55+09:00,2025-12-04T19:20:55+09:00
c0011-0000-0000-0000-0000000000011,遠藤 彩,えんどう あや,candidate11@example.com,090-5939-7927,2000-01-22,female,588-2340,東京都目黒区,クリニック,医療事務,2,323,408,医療事務,医療事務技能審査,医療事務技能審査,大卒,マイナビ看護師,hired,,u004,2025-11-13T19:20:55+09:00,2025-12-16T19:20:55+09:00
c0012-0000-0000-0000-0000000000012,内田 俊介,うちだ しゅんすけ,candidate12@example.com,090-5260-6880,1994-08-19,male,654-4030,東京都新宿区,整形外科,診療放射線技師,7,380,458,放射線技師,"診療放射線技師,MRI専門","診療放射線技師,MRI専門",高卒,自社採用サイト,new,,u004,2025-11-24T19:20:55+09:00,2025-12-02T19:20:55+09:00
c0013-0000-0000-0000-0000000000013,後藤 麻衣,ごとう まい,candidate13@example.com,090-7832-2119,2001-04-23,female,392-7227,東京都渋谷区,歯科医院,受付事務,1,305,435,医療事務,医療事務資格,医療事務資格,専門卒,ハローワーク,active,,u005,2025-10-20T19:20:55+09:00,2025-12-14T19:20:55+09:00
c0014-0000-0000-0000-0000000000014,杉山 正人,すぎやま まさと,candidate14@example.com,090-4963-5794,1983-06-15,male,196-1603,東京都世田谷区,大学病院,薬剤師,17,482,594,薬剤師,"薬剤師,がん専門薬剤師","薬剤師,がん専門薬剤師",大学院卒,ハローワーク,new,,u005,2025-11-10T19:20:55+09:00,2025-12-15T19:20:55+09:00
c0015-0000-0000-0000-0000000000015,宮崎 千尋,みやざき ちひろ,candidate15@example.com,090-2508-8922,1995-05-03,female,677-4559,東京都世田谷区,産婦人科,助産師,6,363,500,"助産師,看護職","助産師,正看護師","助産師,正看護師",高卒,レバウェル看護,hired,,u001,2025-11-03T19:20:55+09:00,2025-12-10T19:20:55+09:00
c0016-0000-0000-0000-0000000000016,新井 拓真,あらい たくま,candidate16@example.com,090-5075-9806,1999-06-16,male,782-5000,東京都港区,リハビリ病院,作業療法士,3,341,458,リハビリ職,作業療法士,作業療法士,大卒,レバウェル看護,inactive,,u004,2025-10-22T19:20:55+09:00,2025-12-07T19:20:55+09:00
c0017-0000-0000-0000-0000000000017,横山 美月,よこやま みづき,candidate17@example.com,090-8161-5844,2002-02-17,female,457-8009,東京都世田谷区,看護学校卒業,,0,283,379,"看護職,新卒",正看護師（新卒）,正看護師（新卒）,高卒,ハローワーク,in_process,,u004,2025-10-17T19:20:55+09:00,2025-12-07T19:20:55+09:00
