id,application_id,candidate_name,job_title,interview_type,round_number,scheduled_at,duration_minutes,location,meeting_url,interviewer_ids,interviewer_names,status,result,feedback,score,notes,created_by_id,created_at,updated_at
i0001-0000-0000-0000-000000000001,a0010-0000-0000-0000-0000000000010,近藤 大地,看護助手,phone,3,2026-01-01T14:00:0019:20:55+09:00,60,,,u004,藤井 恵子,scheduled,pending,,,,u004,2025-12-19T19:20:55+09:00,2025-12-28T19:20:55+09:00
i0002-0000-0000-0000-000000000002,a0008-0000-0000-0000-000000000008,小川 翼,薬剤師,technical,2,2025-12-19T11:00:0019:20:55+09:00,60,,,u001,井上 直子,completed,pending,,,,u001,2025-12-11T19:20:55+09:00,2025-12-28T19:20:55+09:00
i0003-0000-0000-0000-000000000003,a0008-0000-0000-0000-000000000008,小川 翼,薬剤師,final,2,2025-12-16T12:00:0019:20:55+09:00,90,,,u003,大西 健二,completed,failed,面接フィードバック,3,,u003,2025-12-11T19:20:55+09:00,2025-12-28T19:20:55+09:00
i0004-0000-0000-0000-000000000004,a0001-0000-0000-0000-000000000001,西村 真由美,正看護師（病棟）,phone,2,2025-12-24T09:00:0019:20:55+09:00,45,,,u003,大西 健二,confirmed,pending,,,,u003,2025-12-05T19:20:55+09:00,2025-12-24T19:20:55+09:00
i0005-0000-0000-0000-000000000005,a0005-0000-0000-0000-000000000005,長谷川 愛,診療放射線技師,final,2,2026-01-13T16:00:0019:20:55+09:00,45,,,u003,大西 健二,confirmed,pending,,,,u003,2025-12-13T19:20:55+09:00,2025-12-25T19:20:55+09:00
i0006-0000-0000-0000-000000000006,a0006-0000-0000-0000-000000000006,山口 誠一,医療事務（受付）,phone,3,2025-12-25T13:00:0019:20:55+09:00,60,,,u005,村上 正,scheduled,pending,,,,u005,2025-12-22T19:20:55+09:00,2025-12-23T19:20:55+09:00
i0007-0000-0000-0000-000000000007,a0009-0000-0000-0000-000000000009,村田 優子,理学療法士（リハビリ科）,final,2,2026-01-04T12:00:0019:20:55+09:00,45,,,u002,中田 美智子,completed,passed,面接フィードバック,5,,u002,2025-12-16T19:20:55+09:00,2025-12-29T19:20:55+09:00
i0008-0000-0000-0000-000000000008,a0014-0000-0000-0000-0000000000014,杉山 正人,臨床検査技師,technical,2,2026-01-02T15:00:0019:20:55+09:00,60,,,u002,中田 美智子,scheduled,pending,,,,u002,2025-12-22T19:20:55+09:00,2025-12-27T19:20:55+09:00
i0009-0000-0000-0000-000000000009,a0005-0000-0000-0000-000000000005,長谷川 愛,診療放射線技師,final,3,2026-01-10T16:00:0019:20:55+09:00,60,,,u004,藤井 恵子,scheduled,pending,,,,u004,2025-12-14T19:20:55+09:00,2025-12-25T19:20:55+09:00
i0010-0000-0000-0000-0000000000010,a0003-0000-0000-0000-000000000003,原田 美紀,准看護師（透析室）,phone,2,2025-12-26T10:00:0019:20:55+09:00,90,,,u001,井上 直子,scheduled,pending,,,,u001,2025-12-08T19:20:55+09:00,2025-12-29T19:20:55+09:00
i0011-0000-0000-0000-0000000000011,a0010-0000-0000-0000-0000000000010,近藤 大地,看護助手,in_person,2,2026-01-13T17:00:0019:20:55+09:00,30,医療法人青空会 会議室,,u004,藤井 恵子,confirmed,pending,,,,u004,2025-12-11T19:20:55+09:00,2025-12-27T19:20:55+09:00
i0012-0000-0000-0000-0000000000012,a0007-0000-0000-0000-000000000007,前田 恵子,医療事務（レセプト）,in_person,2,2025-12-24T12:00:0019:20:55+09:00,60,医療法人青空会 会議室,,u005,村上 正,completed,passed,面接フィードバック,4,,u005,2025-12-13T19:20:55+09:00,2025-12-25T19:20:55+09:00
