id,candidate_id,candidate_name,job_id,job_title,status,source,applied_at,evaluation_score,evaluation_notes,offer_salary,offer_made_at,offer_deadline,offer_notes,joined_at,notes,registered_by_id,created_at,updated_at
a0001-0000-0000-0000-000000000001,c0014-0000-0000-0000-0000000000014,森田 真理子,j0005-0000-0000-0000-000000000005,夜勤専従介護スタッフ,document_screening,リクルート介護,2025-12-22T19:20:54+09:00,,,,,,,,,u002,2025-11-29T19:20:54+09:00,2025-12-28T19:20:54+09:00
a0002-0000-0000-0000-000000000002,c0006-0000-0000-0000-000000000006,高橋 由美,j0002-0000-0000-0000-000000000002,ケアマネジャー（居宅介護支援）,document_rejected,マイナビ介護,2025-12-16T19:20:54+09:00,3,面接評価コメント,,,,,,,u002,2025-11-02T19:20:54+09:00,2025-12-24T19:20:54+09:00
a0003-0000-0000-0000-000000000003,c0018-0000-0000-0000-0000000000018,清水 優子,j0001-0000-0000-0000-000000000001,介護福祉士（特別養護老人ホーム）,document_screening,カイゴジョブ,2025-11-20T19:20:54+09:00,,,,,,,,,u003,2025-12-03T19:20:54+09:00,2025-12-23T19:20:54+09:00
a0004-0000-0000-0000-000000000004,c0004-0000-0000-0000-000000000004,田中 美咲,j0003-0000-0000-0000-000000000003,訪問介護スタッフ（サ責候補）,offer_made,Indeed,2025-12-13T19:20:54+09:00,3,面接評価コメント,331,2025-12-19T19:20:54+09:00,2025-01-31,,,,u003,2025-11-01T19:20:54+09:00,2025-12-29T19:20:54+09:00
a0005-0000-0000-0000-000000000005,c0014-0000-0000-0000-0000000000014,森田 真理子,j0007-0000-0000-0000-000000000007,機能訓練指導員（PT/OT）,document_passed,Indeed,2025-11-07T19:20:54+09:00,2,面接評価コメント,,,,,,,u005,2025-12-14T19:20:54+09:00,2025-12-27T19:20:54+09:00
a0006-0000-0000-0000-000000000006,c0009-0000-0000-0000-000000000009,小林 拓也,j0003-0000-0000-0000-000000000003,訪問介護スタッフ（サ責候補）,offer_made,カイゴジョブ,2025-12-27T19:20:54+09:00,3,面接評価コメント,322,2025-12-25T19:20:54+09:00,2025-01-31,,,,u003,2025-12-16T19:20:54+09:00,2025-12-23T19:20:54+09:00
a0007-0000-0000-0000-000000000007,c0010-0000-0000-0000-0000000000010,加藤 恵美,j0008-0000-0000-0000-000000000008,管理栄養士,interview_scheduled,ハローワーク,2025-11-09T19:20:54+09:00,3,面接評価コメント,,,,,,,u003,2025-12-06T19:20:54+09:00,2025-12-26T19:20:54+09:00
a0008-0000-0000-0000-000000000008,c0011-0000-0000-0000-0000000000011,松本 大輔,j0001-0000-0000-0000-000000000001,介護福祉士（特別養護老人ホーム）,offer_pending,マイナビ介護,2025-12-29T19:20:54+09:00,4,面接評価コメント,,,,,,,u001,2025-12-12T19:20:54+09:00,2025-12-26T19:20:54+09:00
a0009-0000-0000-0000-000000000009,c0006-0000-0000-0000-000000000006,高橋 由美,j0008-0000-0000-0000-000000000008,管理栄養士,document_passed,マイナビ介護,2025-12-09T19:20:54+09:00,3,面接評価コメント,,,,,,,u005,2025-12-12T19:20:54+09:00,2025-12-28T19:20:54+09:00
a0010-0000-0000-0000-0000000000010,c0005-0000-0000-0000-000000000005,伊藤 翔太,j0002-0000-0000-0000-000000000002,ケアマネジャー（居宅介護支援）,interview_scheduled,リクルート介護,2025-11-17T19:20:54+09:00,2,面接評価コメント,,,,,,,u001,2025-11-22T19:20:54+09:00,2025-12-25T19:20:54+09:00
