id,name,name_kana,email,phone,birth_date,gender,postal_code,address,current_company,current_position,years_of_experience,desired_salary_min,desired_salary_max,desired_job_types,skills,qualifications,education,source,status,notes,registered_by_id,created_at,updated_at
c0001-0000-0000-0000-000000000001,山田 太郎,やまだ たろう,candidate1@example.com,090-6618-4418,1990-11-17,male,489-1127,東京都渋谷区,特養さくら園,ユニットリーダー,10,413,491,"介護職,リーダー職","介護福祉士,認知症ケア専門士","介護福祉士,認知症ケア専門士",専門卒,カイゴジョブ,hired,,u002,2025-11-05T19:20:54+09:00,2025-12-29T19:20:54+09:00
c0002-0000-0000-0000-000000000002,鈴木 花子,すずき はなこ,candidate2@example.com,090-1659-3320,1983-04-17,female,834-5272,東京都港区,有料老人ホームひまわり,介護主任,15,464,593,ケアマネジャー,"介護福祉士,介護支援専門員","介護福祉士,介護支援専門員",大卒,マイナビ介護,hired,,u003,2025-10-04T19:20:54+09:00,2025-12-08T19:20:54+09:00
c0003-0000-0000-0000-000000000003,佐藤 健一,さとう けんいち,candidate3@example.com,090-6295-4170,1987-07-11,male,453-7413,東京都新宿区,居宅介護支援事業所,主任ケアマネ,12,434,501,"ケアマネジャー,管理職","介護支援専門員,主任介護支援専門員","介護支援専門員,主任介護支援専門員",大学院卒,リクルート介護,in_process,,u001,2025-11-10T19:20:54+09:00,2025-12-22T19:20:54+09:00
c0004-0000-0000-0000-000000000004,田中 美咲,たなか みさき,candidate4@example.com,090-4492-1183,1997-02-04,female,304-8979,東京都目黒区,回復期リハビリ病院,理学療法士,5,337,394,リハビリ職,理学療法士,理学療法士,専門卒,ハローワーク,active,,u005,2025-10-05T19:20:54+09:00,2025-12-11T19:20:54+09:00
c0005-0000-0000-0000-000000000005,伊藤 翔太,いとう しょうた,candidate5@example.com,090-7590-8958,2002-01-28,male,296-7028,東京都世田谷区,無職（就職活動中）,,0,291,349,介護職,介護職員初任者研修（取得予定）,介護職員初任者研修（取得予定）,短大卒,ハローワーク,hired,,u002,2025-10-30T19:20:54+09:00,2025-12-11T19:20:54+09:00
c0006-0000-0000-0000-000000000006,高橋 由美,たかはし ゆみ,candidate6@example.com,090-2424-9581,1980-09-16,female,159-2660,東京都目黒区,訪問介護ステーション,サービス提供責任者,18,500,645,"訪問介護,サ責","介護福祉士,サービス提供責任者","介護福祉士,サービス提供責任者",大学院卒,マイナビ介護,new,,u003,2025-11-13T19:20:54+09:00,2025-12-12T19:20:54+09:00
c0007-0000-0000-0000-000000000007,渡辺 誠,わたなべ まこと,candidate7@example.com,090-5692-3388,1993-05-21,male,434-7029,東京都港区,グループホーム,介護職員,8,375,472,"介護職,特養",介護福祉士,介護福祉士,短大卒,Indeed,new,,u004,2025-11-28T19:20:54+09:00,2025-12-22T19:20:54+09:00
c0008-0000-0000-0000-000000000008,中村 あやか,なかむら あやか,candidate8@example.com,090-1886-2078,1996-04-01,female,324-2272,東京都港区,療養型病院,准看護師,6,359,472,"看護職,施設",准看護師,准看護師,短大卒,リクルート介護,hired,,u002,2025-11-01T19:20:54+09:00,2025-12-26T19:20:54+09:00
c0009-0000-0000-0000-000000000009,小林 拓也,こばやし たくや,candidate9@example.com,090-8621-4650,1992-09-01,male,847-6891,東京都目黒区,デイケア,作業療法士,9,373,429,リハビリ職,"作業療法士,認知症リハ専門","作業療法士,認知症リハ専門",高卒,Indeed,active,,u003,2025-10-17T19:20:54+09:00,2025-12-03T19:20:54+09:00
c0010-0000-0000-0000-0000000000010,加藤 恵美,かとう えみ,candidate10@example.com,090-5611-4529,1985-03-11,female,930-6173,東京都世田谷区,特別養護老人ホーム,管理栄養士,14,431,520,栄養士,"管理栄養士,嚥下食指導","管理栄養士,嚥下食指導",大学院卒,Indeed,in_process,,u001,2025-11-03T19:20:54+09:00,2025-12-06T19:20:54+09:00
c0011-0000-0000-0000-0000000000011,松本 大輔,まつもと だいすけ,candidate11@example.com,090-5255-9103,1998-11-16,male,832-5632,東京都渋谷区,有料老人ホーム,介護職員,4,336,404,夜勤専従,介護福祉士,介護福祉士,短大卒,Indeed,new,,u002,2025-11-11T19:20:54+09:00,2025-12-18T19:20:54+09:00
c0012-0000-0000-0000-0000000000012,吉田 さくら,よしだ さくら,candidate12@example.com,090-9882-4031,2000-07-09,female,184-3447,東京都目黒区,デイサービス,介護職員,3,346,490,デイサービス,介護職員初任者研修,介護職員初任者研修,短大卒,リクルート介護,active,,u005,2025-10-23T19:20:54+09:00,2025-11-30T19:20:54+09:00
c0013-0000-0000-0000-0000000000013,斎藤 雄太,さいとう ゆうた,candidate13@example.com,090-1861-9542,1989-07-16,male,739-8392,東京都新宿区,急性期病院,看護師,10,402,492,"看護職,施設",正看護師,正看護師,短大卒,自社採用サイト,hired,,u002,2025-11-21T19:20:54+09:00,2025-12-05T19:20:54+09:00
