id,application_id,candidate_name,job_title,interview_type,round_number,scheduled_at,duration_minutes,location,meeting_url,interviewer_ids,interviewer_names,status,result,feedback,score,notes,created_by_id,created_at,updated_at
i0001-0000-0000-0000-000000000001,a0003-0000-0000-0000-000000000003,佐藤 健一,訪問介護スタッフ（サ責候補）,video,2,2026-01-03T14:00:0019:20:54+09:00,90,,https://meet.google.com/xxx-yyyy-zzz,u005,高橋 誠,completed,failed,面接フィードバック,1,,u005,2025-12-18T19:20:54+09:00,2025-12-29T19:20:54+09:00
i0002-0000-0000-0000-000000000002,a0006-0000-0000-0000-000000000006,高橋 由美,生活相談員,video,1,2026-01-11T15:00:0019:20:54+09:00,45,,https://meet.google.com/xxx-yyyy-zzz,u002,鈴木 美香,completed,passed,面接フィードバック,4,,u002,2025-12-07T19:20:54+09:00,2025-12-24T19:20:54+09:00
i0003-0000-0000-0000-000000000003,a0010-0000-0000-0000-0000000000010,加藤 恵美,ケアマネジャー（居宅介護支援）,final,2,2026-01-01T11:00:0019:20:54+09:00,30,,,u002,鈴木 美香,completed,pending,,,,u002,2025-12-06T19:20:54+09:00,2025-12-28T19:20:54+09:00
i0004-0000-0000-0000-000000000004,a0003-0000-0000-0000-000000000003,佐藤 健一,訪問介護スタッフ（サ責候補）,technical,1,2025-12-24T12:00:0019:20:54+09:00,45,,,u002,鈴木 美香,confirmed,pending,,,,u002,2025-12-06T19:20:54+09:00,2025-12-26T19:20:54+09:00
i0005-0000-0000-0000-000000000005,a0012-0000-0000-0000-0000000000012,吉田 さくら,介護職員（デイサービス）,final,2,2026-01-05T16:00:0019:20:54+09:00,60,,,u001,山本 一郎,completed,failed,面接フィードバック,2,,u001,2025-12-18T19:20:54+09:00,2025-12-23T19:20:54+09:00
i0006-0000-0000-0000-000000000006,a0002-0000-0000-0000-000000000002,鈴木 花子,ケアマネジャー（居宅介護支援）,phone,1,2026-01-10T10:00:0019:20:54+09:00,45,,,u003,佐藤 健一,scheduled,pending,,,,u003,2025-11-30T19:20:54+09:00,2025-12-26T19:20:54+09:00
i0007-0000-0000-0000-000000000007,a0010-0000-0000-0000-0000000000010,加藤 恵美,ケアマネジャー（居宅介護支援）,in_person,1,2026-01-13T16:00:0019:20:54+09:00,30,社会福祉法人さくら会 会議室,,u001,山本 一郎,confirmed,pending,,,,u001,2025-12-11T19:20:54+09:00,2025-12-24T19:20:54+09:00
i0008-0000-0000-0000-000000000008,a0006-0000-0000-0000-000000000006,高橋 由美,生活相談員,video,3,2025-12-28T11:00:0019:20:54+09:00,45,,https://meet.google.com/xxx-yyyy-zzz,u002,鈴木 美香,confirmed,pending,,,,u002,2025-12-08T19:20:54+09:00,2025-12-27T19:20:54+09:00
i0009-0000-0000-0000-000000000009,a0007-0000-0000-0000-000000000007,渡辺 誠,機能訓練指導員（PT/OT）,video,3,2025-12-19T09:00:0019:20:54+09:00,45,,https://meet.google.com/xxx-yyyy-zzz,u004,田中 由美,confirmed,pending,,,,u004,2025-12-20T19:20:54+09:00,2025-12-24T19:20:54+09:00
i0010-0000-0000-0000-0000000000010,a0005-0000-0000-0000-000000000005,伊藤 翔太,夜勤専従介護スタッフ,technical,3,2026-01-06T15:00:0019:20:54+09:00,90,,,u001,山本 一郎,scheduled,pending,,,,u001,2025-12-13T19:20:54+09:00,2025-12-24T19:20:54+09:00
i0011-0000-0000-0000-0000000000011,a0015-0000-0000-0000-0000000000015,木村 健太郎,機能訓練指導員（PT/OT）,final,1,2026-01-02T10:00:0019:20:54+09:00,90,,,u005,高橋 誠,completed,failed,面接フィードバック,2,,u005,2025-12-10T19:20:54+09:00,2025-12-27T19:20:54+09:00
i0012-0000-0000-0000-0000000000012,a0007-0000-0000-0000-000000000007,渡辺 誠,機能訓練指導員（PT/OT）,final,1,2025-12-26T15:00:0019:20:54+09:00,90,,,u003,佐藤 健一,confirmed,pending,,,,u003,2025-12-08T19:20:54+09:00,2025-12-23T19:20:54+09:00
