id,candidate_id,candidate_name,job_id,job_title,status,source,applied_at,evaluation_score,evaluation_notes,offer_salary,offer_made_at,offer_deadline,offer_notes,joined_at,notes,registered_by_id,created_at,updated_at
a0001-0000-0000-0000-000000000001,c0004-0000-0000-0000-000000000004,宮本 千晴,j0006-0000-0000-0000-000000000006,相談支援専門員,document_rejected,ジョブメドレー,2025-10-31T19:20:55+09:00,2,面接評価コメント,,,,,,,u001,2025-11-06T19:20:55+09:00,2025-12-24T19:20:55+09:00
a0002-0000-0000-0000-000000000002,c0019-0000-0000-0000-0000000000019,小野 達也,j0007-0000-0000-0000-000000000007,就労支援員（就労移行支援）,interviewing,自社採用サイト,2025-12-13T19:20:55+09:00,4,面接評価コメント,,,,,,,u001,2025-12-26T19:20:55+09:00,2025-12-24T19:20:55+09:00
a0003-0000-0000-0000-000000000003,c0013-0000-0000-0000-0000000000013,橋本 翔,j0005-0000-0000-0000-000000000005,生活支援員（グループホーム）,offer_made,ジョブメドレー,2025-11-20T19:20:55+09:00,2,面接評価コメント,270,2025-12-25T19:20:55+09:00,2025-01-31,,,,u004,2025-12-28T19:20:55+09:00,2025-12-28T19:20:55+09:00
a0004-0000-0000-0000-000000000004,c0018-0000-0000-0000-0000000000018,早川 由紀子,j0007-0000-0000-0000-000000000007,就労支援員（就労移行支援）,document_passed,ジョブメドレー,2025-12-02T19:20:55+09:00,5,面接評価コメント,,,,,,,u003,2025-11-17T19:20:55+09:00,2025-12-27T19:20:55+09:00
a0005-0000-0000-0000-000000000005,c0010-0000-0000-0000-0000000000010,秋山 絵里,j0005-0000-0000-0000-000000000005,生活支援員（グループホーム）,offer_pending,Indeed,2025-12-26T19:20:55+09:00,4,面接評価コメント,,,,,,,u002,2025-11-30T19:20:55+09:00,2025-12-25T19:20:55+09:00
a0006-0000-0000-0000-000000000006,c0009-0000-0000-0000-000000000009,和田 剛,j0003-0000-0000-0000-000000000003,サービス管理責任者,offer_made,自社採用サイト,2025-12-22T19:20:55+09:00,4,面接評価コメント,372,2025-12-25T19:20:55+09:00,2025-01-31,,,,u005,2025-11-09T19:20:55+09:00,2025-12-23T19:20:55+09:00
a0007-0000-0000-0000-000000000007,c0010-0000-0000-0000-0000000000010,秋山 絵里,j0008-0000-0000-0000-000000000008,職業指導員（就労継続支援A型）,document_screening,ジョブメドレー,2025-12-03T19:20:55+09:00,,,,,,,,,u001,2025-12-26T19:20:55+09:00,2025-12-27T19:20:55+09:00
a0008-0000-0000-0000-000000000008,c0007-0000-0000-0000-000000000007,平野 慎太郎,j0006-0000-0000-0000-000000000006,相談支援専門員,offer_made,ジョブメドレー,2025-11-12T19:20:55+09:00,4,面接評価コメント,344,2025-12-18T19:20:55+09:00,2025-01-31,,,,u004,2025-12-20T19:20:55+09:00,2025-12-24T19:20:55+09:00
a0009-0000-0000-0000-000000000009,c0013-0000-0000-0000-0000000000013,橋本 翔,j0007-0000-0000-0000-000000000007,就労支援員（就労移行支援）,new,ハローワーク,2025-11-09T19:20:55+09:00,,,,,,,,,u005,2025-12-19T19:20:55+09:00,2025-12-26T19:20:55+09:00
a0010-0000-0000-0000-0000000000010,c0020-0000-0000-0000-0000000000020,本田 真奈美,j0007-0000-0000-0000-000000000007,就労支援員（就労移行支援）,offer_pending,Indeed,2025-11-06T19:20:55+09:00,4,面接評価コメント,,,,,,,u004,2025-11-16T19:20:55+09:00,2025-12-28T19:20:55+09:00
a0011-0000-0000-0000-0000000000011,c0014-0000-0000-0000-0000000000014,川島 真由,j0006-0000-0000-0000-000000000006,相談支援専門員,interview_scheduled,福祉のお仕事,2025-11-20T19:20:55+09:00,4,面接評価コメント,,,,,,,u001,2025-11-20T19:20:55+09:00,2025-12-24T19:20:55+09:00
a0012-0000-0000-0000-0000000000012,c0005-0000-0000-0000-000000000005,島田 誠,j0010-0000-0000-0000-0000000000010,児童指導員,offer_made,ハローワーク,2025-12-01T19:20:55+09:00,5,面接評価コメント,263,2025-12-24T19:20:55+09:00,2025-01-31,,,,u001,2025-11-24T19:20:55+09:00,2025-12-23T19:20:55+09:00
a0013-0000-0000-0000-0000000000013,c0012-0000-0000-0000-0000000000012,土井 奈々,j0005-0000-0000-0000-000000000005,生活支援員（グループホーム）,document_passed,ジョブメドレー,2025-10-31T19:20:55+09:00,2,面接評価コメント,,,,,,,u005,2025-11-09T19:20:55+09:00,2025-12-24T19:20:55+09:00
a0014-0000-0000-0000-0000000000014,c0002-0000-0000-0000-000000000002,池田 沙織,j0003-0000-0000-0000-000000000003,サービス管理責任者,offer_made,自社採用サイト,2025-12-02T19:20:55+09:00,4,面接評価コメント,387,2025-12-23T19:20:55+09:00,2025-01-31,,,,u004,2025-11-12T19:20:55+09:00,2025-12-26T19:20:55+09:00
a0015-0000-0000-0000-0000000000015,c0009-0000-0000-0000-000000000009,和田 剛,j0006-0000-0000-0000-000000000006,相談支援専門員,document_rejected,ハローワーク,2025-12-06T19:20:55+09:00,5,面接評価コメント,,,,,,,u002,2025-11-12T19:20:55+09:00,2025-12-29T19:20:55+09:00
a0016-0000-0000-0000-0000000000016,c0011-0000-0000-0000-0000000000011,久保田 健一,j0007-0000-0000-0000-000000000007,就労支援員（就労移行支援）,interview_scheduled,LITALICO仕事ナビ,2025-12-04T19:20:55+09:00,5,面接評価コメント,,,,,,,u004,2025-12-15T19:20:55+09:00,2025-12-28T19:20:55+09:00
a0017-0000-0000-0000-0000000000017,c0016-0000-0000-0000-0000000000016,中島 恵美,j0006-0000-0000-0000-000000000006,相談支援専門員,new,ジョブメドレー,2025-11-29T19:20:55+09:00,,,,,,,,,u005,2025-12-21T19:20:55+09:00,2025-12-26T19:20:55+09:00
a0018-0000-0000-0000-0000000000018,c0004-0000-0000-0000-000000000004,宮本 千晴,j0008-0000-0000-0000-000000000008,職業指導員（就労継続支援A型）,offer_declined,Indeed,2025-11-04T19:20:55+09:00,4,面接評価コメント,,,,,,,u002,2025-12-28T19:20:55+09:00,2025-12-23T19:20:55+09:00
a0019-0000-0000-0000-0000000000019,c0008-0000-0000-0000-000000000008,菊池 美香,j0002-0000-0000-0000-000000000002,生活支援員（就労継続支援B型）,new,福祉のお仕事,2025-10-31T19:20:55+09:00,,,,,,,,,u002,2025-11-23T19:20:55+09:00,2025-12-26T19:20:55+09:00
a0020-0000-0000-0000-0000000000020,c0003-0000-0000-0000-000000000003,荒木 大輔,j0006-0000-0000-0000-000000000006,相談支援専門員,document_screening,自社採用サイト,2025-12-25T19:20:55+09:00,,,,,,,,,u001,2025-11-07T19:20:55+09:00,2025-12-29T19:20:55+09:00
