id,application_id,candidate_name,job_title,interview_type,round_number,scheduled_at,duration_minutes,location,meeting_url,interviewer_ids,interviewer_names,status,result,feedback,score,notes,created_by_id,created_at,updated_at
i0001-0000-0000-0000-000000000001,a0007-0000-0000-0000-000000000007,平野 慎太郎,就労支援員（就労移行支援）,phone,2,2025-12-28T15:00:0019:20:55+09:00,60,,,u005,浜田 拓郎,confirmed,pending,,,,u005,2025-12-17T19:20:55+09:00,2025-12-23T19:20:55+09:00
i0002-0000-0000-0000-000000000002,a0004-0000-0000-0000-000000000004,宮本 千晴,世話人（グループホーム）,technical,3,2025-12-17T09:00:0019:20:55+09:00,60,,,u005,浜田 拓郎,confirmed,pending,,,,u005,2025-12-14T19:20:55+09:00,2025-12-29T19:20:55+09:00
i0003-0000-0000-0000-000000000003,a0004-0000-0000-0000-000000000004,宮本 千晴,世話人（グループホーム）,technical,2,2026-01-13T12:00:0019:20:55+09:00,60,,,u001,川村 直人,scheduled,pending,,,,u001,2025-12-03T19:20:55+09:00,2025-12-27T19:20:55+09:00
i0004-0000-0000-0000-000000000004,a0010-0000-0000-0000-0000000000010,秋山 絵里,児童指導員,technical,2,2026-01-10T16:00:0019:20:55+09:00,90,,,u004,竹内 真理,confirmed,pending,,,,u004,2025-11-30T19:20:55+09:00,2025-12-27T19:20:55+09:00
i0005-0000-0000-0000-000000000005,a0015-0000-0000-0000-0000000000015,松井 一郎,生活支援員（グループホーム）,phone,2,2025-12-30T16:00:0019:20:55+09:00,90,,,u001,川村 直人,completed,pending,,,,u001,2025-12-23T19:20:55+09:00,2025-12-24T19:20:55+09:00
i0006-0000-0000-0000-000000000006,a0006-0000-0000-0000-000000000006,大塚 理恵,相談支援専門員,phone,3,2025-12-21T13:00:0019:20:55+09:00,45,,,u004,竹内 真理,scheduled,pending,,,,u004,2025-12-22T19:20:55+09:00,2025-12-24T19:20:55+09:00
i0007-0000-0000-0000-000000000007,a0008-0000-0000-0000-000000000008,菊池 美香,職業指導員（就労継続支援A型）,in_person,3,2026-01-08T10:00:0019:20:55+09:00,30,NPO法人ひまわり 会議室,,u001,川村 直人,completed,pending,,,,u001,2025-12-07T19:20:55+09:00,2025-12-27T19:20:55+09:00
i0008-0000-0000-0000-000000000008,a0006-0000-0000-0000-000000000006,大塚 理恵,相談支援専門員,video,3,2025-12-30T14:00:0019:20:55+09:00,90,,https://meet.google.com/xxx-yyyy-zzz,u004,竹内 真理,completed,pending,,,,u004,2025-12-12T19:20:55+09:00,2025-12-24T19:20:55+09:00
i0009-0000-0000-0000-000000000009,a0007-0000-0000-0000-000000000007,平野 慎太郎,就労支援員（就労移行支援）,technical,1,2026-01-09T15:00:0019:20:55+09:00,45,,,u003,野村 健,confirmed,pending,,,,u003,2025-12-03T19:20:55+09:00,2025-12-26T19:20:55+09:00
i0010-0000-0000-0000-0000000000010,a0006-0000-0000-0000-000000000006,大塚 理恵,相談支援専門員,final,3,2025-12-31T13:00:0019:20:55+09:00,90,,,u004,竹内 真理,scheduled,pending,,,,u004,2025-12-13T19:20:55+09:00,2025-12-28T19:20:55+09:00
i0011-0000-0000-0000-0000000000011,a0005-0000-0000-0000-000000000005,島田 誠,生活支援員（グループホーム）,phone,3,2026-01-10T17:00:0019:20:55+09:00,45,,,u004,竹内 真理,confirmed,pending,,,,u004,2025-12-12T19:20:55+09:00,2025-12-28T19:20:55+09:00
i0012-0000-0000-0000-0000000000012,a0006-0000-0000-0000-000000000006,大塚 理恵,相談支援専門員,in_person,2,2025-12-26T09:00:0019:20:55+09:00,45,NPO法人ひまわり 会議室,,u001,川村 直人,completed,failed,面接フィードバック,1,,u001,2025-11-30T19:20:55+09:00,2025-12-24T19:20:55+09:00
